Time,Commanded,Actual
26.85,-0.4235914094590238,-0.4231891313056661
26.853,-0.4235914094590238,-0.42323826042149987
26.856,-0.4235914094590238,-0.4232860763182452
26.859,-0.4235914094590238,-0.42333148002590276
26.862,-0.4237659423842232,-0.42337499610166524
26.865,-0.4237659423842232,-0.4234183688604588
26.868,-0.4237659423842232,-0.4234616402740028
26.871,-0.4237659423842232,-0.423503555847459
26.874,-0.4237659423842232,-0.4235432011666028
26.877,-0.4237659423842232,-0.4235799475894633
26.88,-0.4237659423842232,-0.4236134024808832
26.883,-0.42394047530942264,-0.42364465379807154
26.886,-0.42394047530942264,-0.4236758838548735
26.889,-0.42394047530942264,-0.4237074642671303
26.892,-0.42394047530942264,-0.4237383780010286
26.895,-0.42394047530942264,-0.42376787094863516
26.898,-0.42394047530942264,-0.42379541133388604
26.901,-0.42394047530942264,-0.4238206522564483
26.904,-0.42428954115982154,-0.42384597657766837
26.907,-0.42428954115982154,-0.42387577367857565
26.91,-0.42428954115982154,-0.4239106721908743
26.913,-0.42428954115982154,-0.42394842080670936
26.916,-0.42428954115982154,-0.4239872223960064
26.919,-0.42428954115982154,-0.42402567849717243
26.922,-0.42428954115982154,-0.4240627353016792
26.925,-0.42463860701022044,-0.4241002112192516
26.928,-0.42463860701022044,-0.4241420562475951
26.931,-0.42463860701022044,-0.4241885677775867
26.934,-0.42463860701022044,-0.4242372553292985
26.937,-0.42463860701022044,-0.424286159718882
26.94,-0.42463860701022044,-0.4243337838952751
26.943,-0.42463860701022044,-0.4243790266606955
26.946,-0.42516220578581865,-0.4244249888155475
26.949,-0.42516220578581865,-0.42447787661356834
26.952,-0.42516220578581865,-0.4245383391428867
26.955,-0.42516220578581865,-0.42460277814590996
26.958,-0.42516220578581865,-0.4246683383812813
26.961,-0.42516220578581865,-0.4247328143072832
26.964,-0.42516220578581865,-0.4247945598824464
26.967,-0.4253367387110181,-0.424853692827279
26.97,-0.4253367387110181,-0.4249116693401291
26.973,-0.4253367387110181,-0.42496834211847323
26.976,-0.4253367387110181,-0.425022348190651
26.979,-0.4253367387110181,-0.4250727293459013
